V_method,Parameters,Method,Folds,MAE,STD
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.7374208909810567,2.2403482129519574
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.7374331086650483,2.211824388251897
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.738175225965607,2.247260960234786
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7382431362608486,2.235688531327053
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.739404211238137,2.2317718959713857
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.739650353077292,2.241497724035926
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.250000",hillside(t=0),17.0,3.7396994799990155,2.2478994455963517
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.740290685761043,2.235303386346402
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=0.500000",hillside(t=0),17.0,3.7403395499516954,2.242915185769986
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=1.000000",hillside(t=0),17.0,3.742416864545218,2.2378591462073065
direct_indirect_weighted,"direct_thres=0.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.744212105161492,2.222533909437893
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7442873518672,2.2288505319504477
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=2.000000,weight_indirect=0.250000",lop,17.0,3.745677063077857,2.2275767885469584
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7472455196767163,2.223571207278543
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.7472778237359727,2.2286365496411285
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.7472778237359727,2.2286365496411285
direct_indirect_weighted,"direct_thres=1.000000,spread_thres=5.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7508752575307693,2.224075051103778
direct_indirect_weighted,"direct_thres=2.000000,spread_thres=5.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.754735676851075,2.2270414699127534
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=5.000000,weight_indirect=0.250000","hillside(t=0,nan=>0)",17.0,3.7578634439434753,2.2245308382440165
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=1.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7607700968952544,2.2255124776825084
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=0.000000,weight_indirect=1.000000","hillside(t=0,nan=>0)",17.0,3.7607700968952544,2.2255124776825084
direct_indirect_weighted,"direct_thres=5.000000,spread_thres=2.000000,weight_indirect=0.500000","hillside(t=0,nan=>0)",17.0,3.761705166524592,2.2267419610131642
