team_j_name,team_i_name,team_i_score,team_i_H_A_N,team_j_i_score,team_j_i_H_A_N,game_i_j,team_k_name,team_k_score,team_k_H_A_N,team_j_k_score,team_j_k_H_A_N,game_k_j,games,direct
NC_State,Maryland,56,1,65,1,26,Wake_Forest,70,1,69,1,8,"8,26",False
NC_State,Maryland,56,1,65,1,26,Pittsburgh,74,-1,62,-1,28,"26,28",False
NC_State,Pittsburgh,67,-1,74,-1,30,Clemson,73,1,56,1,5,"5,30",False
NC_State,Pittsburgh,67,-1,74,-1,30,Duke,95,1,60,1,6,"6,30",False
NC_State,Pittsburgh,67,-1,74,-1,30,North_Carolina,84,1,70,1,7,"7,30",False
NC_State,Pittsburgh,67,-1,74,-1,30,Wake_Forest,70,1,69,1,8,"8,30",False
NC_State,Pittsburgh,67,-1,74,-1,30,Pittsburgh,74,-1,62,-1,28,"28,30",True
North_Carolina,Clemson,61,1,80,1,0,Duke,93,1,81,1,9,"0,9",False
North_Carolina,Clemson,61,1,80,1,0,Wake_Forest,73,1,67,1,10,"0,10",False
North_Carolina,Duke,66,1,74,1,3,Wake_Forest,73,1,67,1,10,"3,10",False
North_Carolina,NC_State,70,1,84,1,7,Duke,93,1,81,1,9,"7,9",False
North_Carolina,NC_State,70,1,84,1,7,Wake_Forest,73,1,67,1,10,"7,10",False
North_Carolina,Wake_Forest,72,1,105,1,14,Duke,93,1,81,1,9,"9,14",False
North_Carolina,Wake_Forest,72,1,105,1,14,Wake_Forest,73,1,67,1,10,"10,14",True
North_Carolina,Davidson,85,1,97,1,17,Duke,93,1,81,1,9,"9,17",False
North_Carolina,Davidson,85,1,97,1,17,Wake_Forest,73,1,67,1,10,"10,17",False
North_Carolina,Florida_St,75,-1,81,-1,23,Duke,93,1,81,1,9,"9,23",False
North_Carolina,Florida_St,75,-1,81,-1,23,Wake_Forest,73,1,67,1,10,"10,23",False
North_Carolina,Maryland,63,1,75,1,27,Duke,93,1,81,1,9,"9,27",False
North_Carolina,Maryland,63,1,75,1,27,Wake_Forest,73,1,67,1,10,"10,27",False
North_Carolina,Pittsburgh,71,1,75,1,31,Duke,93,1,81,1,9,"9,31",False
North_Carolina,Pittsburgh,71,1,75,1,31,Wake_Forest,73,1,67,1,10,"10,31",False
Pittsburgh,NC_State,62,-1,74,-1,28,Duke,80,-1,65,-1,29,"28,29",False
Pittsburgh,NC_State,62,-1,74,-1,28,North_Carolina,75,1,71,1,31,"28,31",False
Pittsburgh,Wake_Forest,65,1,80,1,34,Duke,80,-1,65,-1,29,"29,34",False
Pittsburgh,Wake_Forest,65,1,80,1,34,NC_State,74,-1,67,-1,30,"30,34",False
Pittsburgh,Wake_Forest,65,1,80,1,34,North_Carolina,75,1,71,1,31,"31,34",False
Wake_Forest,Clemson,57,1,62,1,1,Duke,83,1,63,1,12,"1,12",False
Wake_Forest,Clemson,57,1,62,1,1,NC_State,82,1,67,1,13,"1,13",False
Wake_Forest,Clemson,57,1,62,1,1,North_Carolina,105,1,72,1,14,"1,14",False
Wake_Forest,Clemson,57,1,62,1,1,Florida_St,67,-1,60,-1,32,"1,32",False
Wake_Forest,Clemson,57,1,62,1,1,Maryland,71,1,60,1,33,"1,33",False
Wake_Forest,Clemson,57,1,62,1,1,Pittsburgh,80,1,65,1,34,"1,34",False
Wake_Forest,Duke,72,1,82,1,4,Clemson,61,1,53,1,11,"4,11",False
Wake_Forest,Duke,72,1,82,1,4,NC_State,82,1,67,1,13,"4,13",False
Wake_Forest,Duke,72,1,82,1,4,North_Carolina,105,1,72,1,14,"4,14",False
Wake_Forest,Duke,72,1,82,1,4,Florida_St,67,-1,60,-1,32,"4,32",False
Wake_Forest,Duke,72,1,82,1,4,Maryland,71,1,60,1,33,"4,33",False
Wake_Forest,Duke,72,1,82,1,4,Pittsburgh,80,1,65,1,34,"4,34",False
Wake_Forest,NC_State,69,1,70,1,8,Clemson,61,1,53,1,11,"8,11",False
Wake_Forest,NC_State,69,1,70,1,8,Duke,83,1,63,1,12,"8,12",False
Wake_Forest,NC_State,69,1,70,1,8,North_Carolina,105,1,72,1,14,"8,14",False
Wake_Forest,NC_State,69,1,70,1,8,Florida_St,67,-1,60,-1,32,"8,32",False
Wake_Forest,NC_State,69,1,70,1,8,Maryland,71,1,60,1,33,"8,33",False
Wake_Forest,NC_State,69,1,70,1,8,Pittsburgh,80,1,65,1,34,"8,34",False
Wake_Forest,North_Carolina,67,1,73,1,10,Clemson,61,1,53,1,11,"10,11",False
Wake_Forest,North_Carolina,67,1,73,1,10,Duke,83,1,63,1,12,"10,12",False
Wake_Forest,North_Carolina,67,1,73,1,10,NC_State,82,1,67,1,13,"10,13",False
Wake_Forest,North_Carolina,67,1,73,1,10,Florida_St,67,-1,60,-1,32,"10,32",False
Wake_Forest,North_Carolina,67,1,73,1,10,Maryland,71,1,60,1,33,"10,33",False
Wake_Forest,North_Carolina,67,1,73,1,10,Pittsburgh,80,1,65,1,34,"10,34",False
